kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
7211141,K01355.01,Kepler-827 b,CONFIRMED,CANDIDATE,0.9950,0,0,0,0,51.92920654,9.598e-05,-9.598e-05,151.93321,0.0015,-0.0015,0.398,0.412,-0.223,5.2637,0.0622,-0.0622,3425.8,48.7,-48.7,8.49,1.4,-1.86,574.0,,,25.60,11.23,-10.82,81.80,1,q1_q17_dr25_tce,5671.00,85.00,-77.00,4.128,0.196,-0.098,1.4420,0.2370,-0.3160,19h39m51.85s,+42d42m30.8s,15.897,
7363829,K01356.01,,CANDIDATE,CANDIDATE,,0,0,0,0,384.02570682,,,335.816169,,,,,,14.56,,,,,,,,,,,,,,,,,,,,,,,,,,,19h28m28.78s,+42d55m54.0s,15.206,
6719086,K01357.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,3.014330766,5.5e-06,-5.5e-06,357.37948,0.00125,-0.00125,0.01,0.425,-0.01,2.4747,0.0414,-0.0414,975.3,19.7,-19.7,2.87,0.6,-0.35,1124.0,,,377.79,254.90,-125.22,57.30,1,q1_q17_dr25_tce,5209.00,183.00,-183.00,4.446,0.092,-0.138,0.9530,0.1980,-0.1160,19h53m50.29s,+42d11m14.8s,15.673,
7376983,K01358.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,5.644914154,8.778e-06,-8.778e-06,356.73699,0.0011,-0.0011,0.445,0.037,-0.445,2.2599,0.0433,-0.0433,1397.9,24.4,-24.4,2.66,0.25,-0.18,744.0,,,72.38,27.67,-18.17,63.90,1,q1_q17_dr25_tce,4769.00,172.00,-172.00,4.622,0.024,-0.060,0.7140,0.0680,-0.0490,19h43m18.12s,+42d56m36.2s,15.505,
5084942,K00161.01,Kepler-475 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.105507835,1.149e-06,-1.149e-06,133.210427,0.000311,-0.000311,0.799,0.001,-0.561,1.7458,0.0224,-0.0224,904.6,6,-6,2.68,0.17,-0.1,980.0,,,217.91,47.94,-32.46,178.60,1,q1_q17_dr25_tce,4989.00,90.00,-110.00,4.585,0.012,-0.064,0.7910,0.0520,-0.0280,19h08m12.42s,+40d12m41.6s,13.341,
11125936,K01419.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,1.336109338,5.1e-07,-5.1e-07,178.258786,0.0003,-0.0003,1.28,4.324,-0.123,1.7419,0.0171,-0.0171,2204.3,18.1,-18.1,35.19,10.95,-4.37,1727.0,,,2106.49,1968.59,-692.49,150.00,1,q1_q17_dr25_tce,6119.00,183.00,-201.00,4.460,0.070,-0.210,0.9670,0.3010,-0.1200,19h01m38.87s,+48d43m30.8s,15.507,
11026304,K01420.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,13.35151248,1.616e-05,-1.616e-05,363.086742,0.000833,-0.000833,0.573,0.026,-0.426,3.6045,0.0464,-0.0464,3308.8,35.6,-35.6,4.44,0.37,-0.4,585.0,,,27.77,9.65,-7.90,107.90,1,q1_q17_dr25_tce,4843.00,173.00,-173.00,4.562,0.054,-0.041,0.7540,0.0620,-0.0680,19h20m27.05s,+48d34m40.0s,15.825,
11342550,K01421.01,,CANDIDATE,CANDIDATE,,0,0,0,0,1693.6636225,0,0,524.27995,0.0021,-0.0021,0.5283,0.0596,-0.1892,22.604,0.323,-0.323,9515.3,99,-99,10.23,4.54,-1.02,157.0,,,0.14,0.19,-0.04,122.80,,,5923.00,161.00,-193.00,4.445,0.056,-0.299,1.0210,0.4530,-0.1020,19h10m36.11s,+49d09m21.8s,15.305,
11497958,K01422.01,Kepler-296 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.841636615,9.841e-06,-9.841e-06,135.92315,0.00132,-0.00132,0.026,0.405,-0.026,1.8734,0.0467,-0.0467,1336.3,37,-37,1.38,0.17,-0.21,446.0,,,9.38,3.49,-3.20,41.10,1,q1_q17_dr25_tce,3526.00,71.00,-78.00,4.866,0.066,-0.044,0.3830,0.0480,-0.0580,19h06m09.60s,+49d26m14.4s,15.921,
11497958,K01422.02,Kepler-296 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,19.85029495,5.525e-05,-5.525e-05,133.64933,0.00216,-0.00216,0.217,0.245,-0.217,2.8407,0.0741,-0.0741,1607.5,50.7,-50.7,1.52,0.19,-0.23,297.0,,,1.83,0.68,-0.62,34.40,2,q1_q17_dr25_tce,3526.00,71.00,-78.00,4.866,0.066,-0.044,0.3830,0.0480,-0.0580,19h06m09.60s,+49d26m14.4s,15.921,
